ref_area,indicator,source,sex,time,obs_value,obs_status,note_source,note_indicator
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2009,5215.475,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2009,2986.913,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2009,2228.562,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2008,5213.276,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2008,2981.072,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2008,2232.205,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2006,5527.238,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2006,3116.291,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2006,2410.947,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2005,5568.838,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2005,3147.932,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2005,2420.907,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2004,5555.607,B,R1:3513_S4:33,I11:264
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2004,3119.59,B,R1:3513_S4:33,I11:264
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2004,2436.017,B,R1:3513_S4:33,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2022,724.442,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2022,321.155,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2022,403.287,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2021,716.42,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2021,316.651,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2021,399.769,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2020,673.223,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2020,311.616,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2020,361.608,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2019,720.128,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2019,339.427,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2019,380.701,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2018,746.772,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2018,364.155,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2018,382.617,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2017,484.395,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2017,256.464,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2017,227.931,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2016,502.175,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2016,268.614,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2016,233.561,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2015,559.141,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2015,297.009,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2015,262.131,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2014,670.132,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2014,352.773,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2014,317.359,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_T,2008,515.68,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_M,2008,290.505,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BA:867,SEX_F,2008,225.176,B,R1:3513_T3:240,I11:264
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_T,2013,670.001,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_M,2013,357.626,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_F,2013,312.375,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_T,2012,704.11,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_M,2012,378.498,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_F,2012,325.612,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_T,2011,696.905,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_M,2011,374.427,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_F,2011,322.478,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_T,2009,576.82,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_M,2009,310.701,,R1:3513_T3:240,
ARM,EMP_NIFL_SEX_NB,BB:173,SEX_F,2009,266.119,,R1:3513_T3:240,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2021,3319.377,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2021,1702.351,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2021,1617.026,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2020,3156.304,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2020,1547.795,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2020,1608.509,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2019,3370.62,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2019,1698.035,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2019,1672.585,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2018,3472.062,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2018,1728.155,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2018,1743.907,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2017,3462.43,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2017,1732.41,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2017,1730.02,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2016,3333.045,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2016,1747.826,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2016,1585.219,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2015,3401.477,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2015,1692.803,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2015,1708.674,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2014,3228.576,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2014,1685.805,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2014,1542.77,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2013,3214.869,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2013,1648.811,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2013,1566.058,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2012,3133.525,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2012,1603.911,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2012,1529.614,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2011,3170.71,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2011,1666.301,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2011,1504.409,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2010,3009.146,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2010,1568.062,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2010,1441.084,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2009,3420.519,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2009,1758.3,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2009,1662.219,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2008,3285.362,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2008,1631.563,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2008,1653.799,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2007,3354.782,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2007,1668.098,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2007,1686.684,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2006,3407.315,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2006,1752.417,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2006,1654.898,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2005,3349.627,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2005,1692.138,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2005,1657.489,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2004,3440.735,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2004,1762.723,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2004,1678.013,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2003,3385.047,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_M,2003,1758.375,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_F,2003,1626.672,,R1:3513,
AUS,EMP_NIFL_SEX_NB,BB:15747,SEX_T,2002,3354.876,,R1:3513,
